iter	Passed	Remaining
614	11201	7012
615	11217	6992
616	11233	6973
617	11250	6953
618	11267	6934
619	11283	6915
620	11300	6897
621	11319	6878
622	11336	6859
623	11352	6840
624	11369	6821
625	11384	6801
626	11401	6782
627	11417	6763
628	11434	6744
629	11453	6726
630	11469	6707
631	11485	6688
632	11503	6669
633	11518	6649
634	11534	6630
635	11552	6611
636	11567	6591
637	11584	6573
638	11602	6554
639	11619	6535
640	11635	6516
641	11654	6498
642	11670	6479
643	11687	6460
644	11703	6441
645	11721	6423
646	11740	6405
647	11761	6389
648	11784	6373
649	11802	6355
650	11818	6335
651	11839	6319
652	11864	6304
653	11883	6287
654	11903	6269
655	11923	6252
656	11943	6235
657	11961	6217
658	11980	6199
659	11998	6180
660	12014	6161
661	12031	6142
662	12048	6123
663	12064	6105
664	12081	6085
665	12096	6066
666	12111	6046
667	12127	6027
668	12145	6009
669	12162	5990
670	12181	5972
671	12195	5952
672	12213	5934
673	12234	5917
674	12252	5899
675	12268	5879
676	12285	5861
677	12301	5842
678	12320	5824
679	12336	5805
680	12356	5788
681	12372	5769
682	12391	5751
683	12415	5735
684	12434	5718
685	12454	5700
686	12472	5682
687	12489	5663
688	12507	5645
689	12527	5628
690	12543	5609
691	12561	5590
692	12578	5572
693	12595	5553
694	12615	5536
695	12630	5516
696	12647	5498
697	12663	5478
698	12678	5459
699	12695	5441
700	12712	5422
701	12729	5403
702	12744	5384
703	12761	5365
704	12775	5345
705	12793	5327
706	12809	5308
707	12827	5290
708	12844	5272
709	12863	5254
710	12883	5236
711	12899	5217
712	12916	5199
713	12932	5180
714	12948	5161
715	12967	5143
716	12986	5125
717	13004	5107
718	13022	5089
719	13043	5072
720	13059	5053
721	13077	5035
722	13093	5016
723	13109	4997
724	13127	4979
725	13148	4962
726	13164	4943
727	13179	4924
728	13194	4905
729	13210	4885
730	13228	4868
731	13244	4849
732	13266	4832
733	13290	4816
734	13310	4799
735	13333	4782
736	13360	4767
737	13384	4751
738	13406	4734
739	13427	4717
740	13445	4699
741	13462	4681
742	13479	4662
743	13498	4644
744	13521	4628
745	13558	4616
746	13607	4608
747	13638	4594
748	13662	4578
749	13688	4562
750	13711	4546
751	13734	4529
752	13762	4514
753	13804	4503
754	13835	4489
755	13864	4474
756	13887	4457
757	13919	4443
758	13943	4427
759	13963	4409
760	13985	4392
761	14021	4379
762	14054	4365
763	14076	4348
764	14098	4330
765	14117	4312
766	14138	4294
767	14158	4277
768	14179	4259
769	14199	4241
770	14227	4225
771	14246	4207
772	14269	4190
773	14290	4172
774	14311	4154
775	14331	4136
776	14348	4118
777	14371	4100
778	14397	4084
779	14422	4067
780	14450	4051
781	14474	4035
782	14502	4019
783	14523	4001
784	14559	3987
785	14586	3971
786	14613	3955
787	14632	3936
788	14658	3920
789	14680	3902
790	14703	3884
791	14729	3868
792	14757	3852
793	14779	3834
794	14825	3822
795	14842	3803
796	14864	3786
797	14886	3768
798	14905	3749
799	14932	3733
800	14956	3715
801	14976	3697
802	14996	3679
803	15014	3660
804	15033	3641
805	15060	3624
806	15082	3607
807	15103	3589
808	15124	3570
809	15149	3553
810	15171	3535
811	15195	3518
812	15214	3499
813	15234	3481
814	15261	3464
815	15281	3445
816	15300	3427
817	15319	3408
818	15336	3389
819	15357	3371
820	15376	3352
821	15396	3334
822	15415	3315
823	15434	3296
824	15453	3277
825	15475	3260
826	15494	3241
827	15516	3223
828	15535	3204
829	15554	3185
830	15573	3167
831	15591	3148
832	15609	3129
833	15627	3110
834	15653	3093
835	15673	3074
836	15700	3057
837	15719	3038
838	15736	3019
839	15758	3001
840	15784	2984
841	15801	2965
842	15820	2946
843	15839	2927
844	15859	2909
845	15880	2890
846	15902	2872
847	15921	2853
848	15945	2836
849	15965	2817
850	15986	2799
851	16013	2781
852	16033	2763
853	16052	2744
854	16071	2725
855	16091	2706
856	16107	2687
857	16127	2669
858	16147	2650
859	16164	2631
860	16183	2612
861	16204	2594
862	16222	2575
863	16241	2556
864	16265	2538
865	16288	2520
866	16336	2505
867	16363	2488
868	16405	2473
869	16450	2458
870	16481	2440
871	16514	2424
872	16541	2406
873	16564	2388
874	16585	2369
875	16606	2350
876	16631	2332
877	16652	2313
878	16673	2295
879	16698	2277
880	16727	2259
881	16754	2241
882	16809	2227
883	16837	2209
884	16869	2192
885	16902	2174
886	16950	2159
887	16982	2141
888	17015	2124
889	17042	2106
890	17069	2088
891	17093	2069
892	17122	2051
893	17142	2032
894	17173	2014
895	17197	1996
896	17224	1977
897	17252	1959
898	17274	1940
899	17302	1922
900	17329	1904
901	17355	1885
902	17378	1866
903	17401	1847
904	17422	1828
905	17441	1809
906	17468	1791
907	17502	1773
908	17523	1754
909	17551	1735
910	17572	1716
911	17594	1697
912	17614	1678
913	17635	1659
914	17656	1640
915	17677	1621
916	17703	1602
917	17728	1583
918	17752	1564
919	17773	1545
920	17791	1526
921	17813	1506
922	17831	1487
923	17855	1468
924	17878	1449
925	17904	1430
926	17922	1411
927	17942	1392
928	17961	1372
929	17982	1353
930	18005	1334
931	18026	1315
932	18045	1295
933	18065	1276
934	18088	1257
935	18118	1238
936	18139	1219
937	18158	1200
938	18184	1181
939	18206	1162
940	18235	1143
941	18258	1124
942	18278	1104
943	18299	1085
944	18320	1066
945	18345	1047
946	18362	1027
947	18381	1008
948	18399	988
949	18420	969
950	18442	950
951	18459	930
952	18476	911
953	18495	891
954	18519	872
955	18541	853
956	18562	834
957	18582	814
958	18608	795
959	18628	776
960	18644	756
961	18665	737
962	18687	718
963	18706	698
964	18736	679
965	18761	660
966	18788	641
967	18811	621
968	18834	602
969	18856	583
970	18885	564
971	18907	544
972	18933	525
973	18958	506
974	18982	486
975	19005	467
976	19026	447
977	19046	428
978	19066	408
979	19087	389
980	19107	370
981	19127	350
982	19145	331
983	19167	311
984	19186	292
985	19208	272
986	19231	253
987	19249	233
988	19273	214
989	19293	194
990	19313	175
991	19329	155
992	19353	136
993	19383	117
994	19419	97
995	19465	78
996	19524	58
997	19557	39
998	19592	19
999	19618	0
